employee_name,employee_phone,employee_email
Danielle Osborne,0674 668 828,mi.lacinia.mattis@aol.couk
Walker Olson,0433 643 744,donec.egestas@aol.com
Kennedy Alvarez,0735 715 662,nec.cursus.a@hotmail.net
Uriah Payne,0499 534 623,ante.dictum.mi@google.couk
Moses Mckee,0385 785 248,bibendum.ullamcorper.duis@yahoo.org
Walter Gallegos,0921 865 551,odio.phasellus@outlook.edu
Rosalyn Bishop,0214 853 787,eu@aol.edu
Phillip Rowe,0127 285 424,pede.malesuada.vel@google.ca
Marny Blackwell,0251 659 335,lectus@protonmail.net
Leroy Gilbert,0543 875 684,lectus.cum@outlook.edu
